District,Crime Attribute,Crime Measure
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Number),28
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Value),610527
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Number),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Value),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Number),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Value),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Number),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Value),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Number),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Value),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Number),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Value),0
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Number),19
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Value),206745
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Number),63
Chickballapura,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Total (Value),9136672
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Number),38
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Value),5468200
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Number),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Value),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Number),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Value),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Number),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Value),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Number),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Value),0
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Number),1
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Value),56260
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Number),64
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Value),1708567
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Number),268
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Total (Number),373
Chickballapura,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Total (Value),16851197
Chickmagalur,Other IPC Crimes (Incidence (I) of Cognizable Crimes (IPC)),1273
Chickmagalur,Other Theft (Incidence (I) of Cognizable Crimes (IPC)),95
Chickmagalur,Act Cases Committed Against Scs / Sts (Total),39
Chickmagalur,Dacoity (Incidence (I) of Cognizable Crimes (IPC)),10
Chickmagalur,Counterfeiting (Incidence (I) of Cognizable Crimes (IPC)),1
Chickmagalur,Act Cases Committed Against Scs / Sts (Percentage),2.6
Chickmagalur,Arson  (Incidence),0
Chickmagalur,Preparation & Assembly For Dacoity (Incidence (I) of Cognizable Crimes (IPC)),0
Chickmagalur,Total Complaints,2998
Chickmagalur,Category of Complaints Received Oral,1167
Chickmagalur,Category of Complaints Received Written,1706
Chickmagalur,Category of Complaints Received Distress Call Over Phone 100,0
Chickmagalur,Category of Complaints Received Complaints Nitiated Suomoto by Police,124
Chickmagalur,Total (Number of Case Registered Under),2998
Chickmagalur,IPC (Number of Case Registered Under),2644
Chickmagalur,SLL (Number of Case Registered Under),354
Chickmagalur,Incidence of Total Cog.Crimes (IPC),2998
Chickmagalur,Percentage Contribution to Karnataka Total (IPC),1
Chickmagalur,Rank of Criminality (IPC),9
Chickmagalur,Incidence of Total Cog.Crimes (SLL),354
Chickmagalur,Percentage Contribution to Karnataka Total (SLL),2.1
Chickmagalur,Rank of Criminality (SLL),9
Chickmagalur,C.H. Not Amounting to Murder  (Incidence),3
Chickmagalur,Kidnapping & Abduction Total (Incidence),16
Chickmagalur,Kidnapping & Abduction of Others (Incidence),5
Chickmagalur,Dacoity (Incidence),6
Chickmagalur,Preparation & Assembly For Dacoity (Incidence),0
Chickmagalur,Theft Total (Incidence),183
Chickmagalur,Other Theft (Incidence),95
Chickmagalur,Criminal Breach of Trust (Incidence),3
Chickmagalur,Cheating (Incidence),40
Chickmagalur,Counterfeiting (Incidence),1
Chickmagalur,Hurt  (Incidence),652
Chickmagalur,Death By Negligence (Incidence),0
Chickmagalur,Other IPC Crimes (Incidence),1273
Chickmagalur,Total Cognizable Crimes Under IPC (Incidence),2644
Chickmagalur,Arms Act (Incidence),18
Chickmagalur,Narcotic Drugs and Psychotropic Substances Act (Incidence),8
Chickmagalur,Gambling Cases (Incidence),122
Chickmagalur,Excise Act (Incidence),34
Chickmagalur,Prohibition Act (Incidence),0
Chickmagalur,Explosives and Explosive Substances Act (Incidence),0
Chickmagalur,Immoral Traffic (Prevention) Act (Incidence),1
Chickmagalur,Indian Railways Act (Incidence),0
Chickmagalur,Registration of Foreigners Act (Incidence),0
Chickmagalur,Protection of Civil Rights Act (Incidence),0
Chickmagalur,Indian Passport Act (Incidence),0
Chickmagalur,Essential Commodities Act (Incidence),2
Chickmagalur,Terrorist & Disruptive Activities Act (Incidence),0
Chickmagalur,Antiquity & Art Treasure Act (Incidence),0
Chickmagalur,Dowry Prohibition Act (Incidence),33
Chickmagalur,Child Marriage Restraint Act (Incidence),0
Chickmagalur,Indecent Representation of Women (P) Act (Incidence),0
Chickmagalur,Copyright Act (Incidence),0
Chickmagalur,Sati Prevention Act (Incidence),0
Chickmagalur,Forest Act (Incidence),1
Chickmagalur,Other SLL Crimes (Incidence),89
Chickmagalur,Total Cognizable Crimes Under SLL (Incidence),354
Chickmagalur,Number of Cases Reported Under C.H. Not Amounting to Murder,3
Chickmagalur,Number of Cases Reported Under Dacoity,6
Chickmagalur,Number of Cases Reported Under Preparation and Assembly For Dacoity,0
Chickmagalur,Number of Cases Reported Under Robbery,17
Chickmagalur,Number of Cases Reported Under Riots,132
Chickmagalur,Number of Cases Reported Under Arson,0
Chickmagalur,Number of Cases Reported Under Total Violent Crimes,248
Chickmagalur,Number of Cases Reported Under Percentage Share to All Karnataka Crimes,1.5
Chickmagalur,Number of Cases Reported Under Percentage to Total Cognizable Crimes Under IPC,0.2
Chickmagalur,Number of Cases Reported Under Gain Murder (C.H.),0
Chickmagalur,Number of Cases Reported Under Gain CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Property Dispute Murder (C.H.),0
Chickmagalur,Number of Cases Reported Under Property Dispute CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Personal Vendetta Or Enmity Murder (C.H.),0
Chickmagalur,Number of Cases Reported Under Personal Vendetta Or Enmity CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Love Affairs / Sexual Causes Murder (C.H.),0
Chickmagalur,Number of Cases Reported Under Love Affairs / Sexual Causes CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Dowry Murder (C.H.),1
Chickmagalur,Number of Cases Reported Under Dowry CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Lunacy Murder (C.H.),0
Chickmagalur,Number of Cases Reported Lunacy Murder CHNA (C.H),0
Chickmagalur,Number of Cases Reported Witchcraft Murder (C.H.),0
Chickmagalur,Number of Cases Reported Witchcraft CHNA (C.H.),0
Chickmagalur,Number of Cases Reported For Political Reasons Murder (C.H.),0
Chickmagalur,Number of Cases Reported For Political Reasons CHNA (C.H.),0
Chickmagalur,Number of Cases Reported  By Terrorist /Extremists Murder (C.H.),0
Chickmagalur,Number of Cases Reported  By Terrorist /Extremists CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Communalism Murder (C.H.),0
Chickmagalur,Number of Cases Reported Communalism CHNA  (C.H.),0
Chickmagalur,Casteism Murder (C.H.),0
Chickmagalur,Casteism CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Class Conflict Murder (C.H.),0
Chickmagalur,Number of Cases Reported Under Class Conflict CHNA (C.H.),0
Chickmagalur,Number of Cases Reported Under Other Motives Murder (C.H.),23
Chickmagalur,Number of Cases Reported Under Other Motives CHNA (C.H.),3
Chickmagalur,Number of Cases Reported Under Total CHNA (C.H.),3
Chickmagalur,Number of Victims Upto 10 Years (Males),0
Chickmagalur,Number of Victims Upto 10 Years (Females),0
Chickmagalur,Number of Victims Upto 10 Years (Total),0
Chickmagalur,Number of Victims 11 - 15 Years (Males),0
Chickmagalur,Number of Victims 11 - 15 Years (Females),0
Chickmagalur,Number of Victims 11 - 15 Years (Total),0
Chickmagalur,Number of Victims 16 - 18 Years (Males),0
Chickmagalur,Number of Victims 16 - 18 Years (Females),0
Chickmagalur,Number of Victims 16 - 18 Years (Total),0
Chickmagalur,Number of Victims 19 - 30 Years (Males),1
Chickmagalur,Number of Victims 19 - 30 Years (Females),2
Chickmagalur,Number of Victims 19 - 30 Years (Total),4
Chickmagalur,Number of Victims 31 - 50 Years (Males),5
Chickmagalur,Number of Victims 31 - 50 Years(Females),4
Chickmagalur,Number of Victims 31 - 50 Years (Total),10
Chickmagalur,Number of Victims 31 - 50 Years (Males),1
Chickmagalur,Number of Victims 31 - 50 Years (Total),2
Chickmagalur,Number of Victims Above 50 Years (Males),1
Chickmagalur,Number of Victims Above 50 Years (Females),4
Chickmagalur,Number of Victims Above 50 Years (Total),6
Chickmagalur,Number of Victims Above 50 Years (Females),0
Chickmagalur,Number of Victims Above 50 Years (Total),0
Chickmagalur,Number of Victims CH Not Amounting to Murder Upto 10 Years (Males),0
Chickmagalur,Number of Victims CH Not Amounting to Murder Upto 10 Years (Females),0
Chickmagalur,Number of Victims CH Not Amounting to Murder Upto 10 Years (Total),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Males),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Females),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Total),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Males),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Total),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Males),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Females),0
Chickmagalur,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Total),0
Chickmagalur,Number of Victims 31 - 50 Years (Females),0
Chickmagalur,Number of Victims Total of All Age Groups (Males),10
Chickmagalur,Number of Victims Total of All Age Groups (Females),15
Chickmagalur,Number of Victims Total of All Age Groups (Total),87
Chickmagalur,Number of Victims Total of All Age Groups (Males),1
Chickmagalur,Number of Victims Total of All Age Groups (Females),1
Chickmagalur,Number of Victims Total of All Age Groups (Total),3
Chickmagalur,Unidentified Bodies Recovered and Inquest Conducted,31
Chickmagalur,Total Number of Cases Reported (Age Group and Gender Wise Victims),16
Chickmagalur,Sex Wise / Group Wise Upto 10 Years (Males),0
Chickmagalur,Sex Wise / Group Wise Upto 10 Years (Females),0
Chickmagalur,Sex Wise / Group Wise 11 - 15 Years (Males),0
Chickmagalur,Sex Wise / Group Wise 11 - 15 Years (Females),0
Chickmagalur,Sex Wise / Group Wise 16 - 18 Years (Males),0
Chickmagalur,Sex Wise / Group Wise 16 - 18 Years (Females),5
Chickmagalur,Sex Wise / Group Wise 19 - 30 Years (Males),1
Chickmagalur,Sex Wise / Group Wise 19 - 30 Years (Females),4
Chickmagalur,Sex Wise / Group Wise 31 - 50 Years (Males),0
Chickmagalur,Sex Wise / Group Wise 31 - 50 Years (Females),0
Chickmagalur,Sex Wise / Group Wise Above 50 Years (Males),3
Chickmagalur,Sex Wise / Group Wise Above 50 Years (Females),0
Chickmagalur,Sex Wise / Group Wise Total (Males),5
Chickmagalur,Sex Wise / Group Wise Total (Females),10
Chickmagalur,Age Group and Gender Wise Victims of Total Kidnapping & Abduction (Grand Total),16
Chickmagalur,Total Number of Cases For Investigation Including Pending Cases,4380
Chickmagalur,Number of Cases In Which Investigation Was Refused,0
Chickmagalur,Number of Cases In Which Investigation Was Completed,10
Chickmagalur,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc.,84
Chickmagalur,Number of Cases In Which Investigation Was Completed Final Report True Submitted,1389
Chickmagalur,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted,1484
Chickmagalur,Number of Cases Pending Investigation,2896
Chickmagalur,Pendency Percentage,64.1
Chickmagalur,Percentage of Pendency to All Karnataka Total,4.8
Chickmagalur,Total Number of Cases For Investigation Including Pending Cases (SLL),427
Chickmagalur,Number of Cases In Which Investigation Was Refused (SLL),0
Chickmagalur,Number of Cases In Which Investigation Was Completed (SLL),264
Chickmagalur,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc. (SLL),14
Chickmagalur,Number of Cases In Which Investigation Was Completed Final Report True Submitted (SLL),1
Chickmagalur,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted (SLL),248
Chickmagalur,Number of Cases Pending Investigation (SLL),162
Chickmagalur,Pendency Percentage (SLL),37.0
Chickmagalur,Disposal of Cases Under Murder (Confession),0
Chickmagalur,Disposal of Cases Under Murder (Trial),23
Chickmagalur,Disposal of Cases Under Murder (Total),23
Chickmagalur,Disposal of Cases  Attempt to Commit Murder (Confession),0
Chickmagalur,Disposal of Cases  Attempt to Commit Murder (Trial),14
Chickmagalur,Disposal of Cases  Attempt to Commit Murder (Total),14
Chickmagalur,Disposal of Cases C.H. Not Amounting to Murder (Confession),0
Chickmagalur,Disposal of Cases  C.H. Not Amounting to Murder (Trial),0
Chickmagalur,Disposal of Cases C.H. Not Amounting to Murder (Total),0
Chickmagalur,Disposal of Cases Under Rape (Confession),0
Chickmagalur,Disposal of Cases Under Rape (Trial),8
Chickmagalur,Disposal of Cases Under Rape (Total),8
Chickmagalur,Disposal of Cases Under Kidnapping & Abduction (Confession),0
Chickmagalur,Disposal of Cases Under Kidnapping & Abduction(Trial),6
Chickmagalur,Disposal of Cases Under Kidnapping & Abduction(Total),6
Chickmagalur,Disposal of Cases Under Women & Girls (Confession),0
Chickmagalur,Disposal of Cases Under Women & Girls (Trial),4
Chickmagalur,Disposal of Cases Under Women & Girls (Total),4
Chickmagalur,Disposal of Cases Under Others (Confession),0
Chickmagalur,Disposal of Cases Under Others (Trial),1
Chickmagalur,Disposal of Cases Under Others (Total),1
Chickmagalur,Disposal of Cases Under Dacoity (Confession),0
Chickmagalur,Disposal of Cases Under Dacoity (Trial),0
Chickmagalur,Disposal of Cases Under Dacoity (Total),0
Chickmagalur,Disposal of Cases Under Preparation & Assembly For Dacoity (Confession),0
Chickmagalur,Disposal of Cases Under Preparation & Assembly For Dacoity (Trial),0
Chickmagalur,Disposal of Cases Under Preparation & Assembly For Dacoity (Total),0
Chickmagalur,Disposal of Cases Robbery (Confession),0
Chickmagalur,Disposal of Cases Robbery (Trial),5
Chickmagalur,Disposal of Cases Robbery (Total),5
Chickmagalur,Disposal of Cases  Riot (Confession),0
Chickmagalur,Disposal of Cases Riot (Trial),70
Chickmagalur,Disposal of Cases Riot (Total),70
Chickmagalur,Disposal of Cases Arson (Confession),0
Chickmagalur,Disposal of Cases Arson (Trial),0
Chickmagalur,Disposal of Cases  Arson (Total),0
Chickmagalur,Disposal of Cases Dowry Death (Confession),0
Chickmagalur,Disposal of Cases Dowry Death (Trial),1
Chickmagalur,Disposal of Cases Dowry Death (Total),1
Chickmagalur,Disposal of Cases Total (Confession),0
Chickmagalur,Disposal of Cases Total (Trial),132
Chickmagalur,Disposal of Cases Total  (Total),132
Chickmagalur,Total Number of Cases For Trail Including Pending Cases,7109
Chickmagalur,Number of Cases Withdrawn By Govt.,0
Chickmagalur,Number of Cases Compounded Or With Drawn,199
Chickmagalur,Number of Cases In Which Trials Were Completed Convicted,1975
Chickmagalur,Number of Cases In Which Trials Were Completed Acquitted Or Discharged,0
Chickmagalur,Number of Cases In Which Trials Were Completed Total,1975
Chickmagalur,Number of Cases Pending Trial (Disposal of IPC Cases By Courts),4933
Chickmagalur,Pendency Percentage (Disposal of IPC Cases By Courts),67.3
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Murder,23
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Attempt to Commit Murder,14
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads C.H. Not Amounting to Murder,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Rape,8
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction Total,6
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Women Or Girls,4
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Others,1
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Dacoity,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Preparation & Assembly For Dacoity,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Robbery,5
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Burglary,28
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Theft Total,98
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Theft Auto,26
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Theft Others,72
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Riots,70
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Criminal Breach of Trust,11
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Cheating,6
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Counterfeiting,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Arson,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Hurt,826
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Dowry Deaths,1
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Molestation,38
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Sexual Harassment,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Cruelty By Husband & Relatives,58
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Death By Negligence,0
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Other IPC Cases,774
Chickmagalur,Conviction of IPC Cases Under Various Crime Heads Total Cognizable Cases Under IPC,1975
Chickmagalur,Total Number of Cases For Trail Including Pending Cases (Disposal of SLL Crime Cases By Court),1492
Chickmagalur,Cases With Drawn By Govt. ((Disposal of SLL Crime Cases By Court),0
Chickmagalur,Number of Cases Compounded Or With Drawn (Disposal of SLL Crime Cases By Court),4
Chickmagalur,Number of Cases In Which Trials Were Completed Convicted (Disposal of SLL Crime Cases By Court),243
Chickmagalur,Number of Cases In Which Trials Were Completed Acquitted Or Discharged (Disposal of SLL Crime Cases By Court),0
Chickmagalur,Number of Cases In Which Trials Were Completed (Total) (Disposal of SLL Crime Cases By Court),243
Chickmagalur,Disposal of SLL Crime Cases By Court (Pending Trial),1244
Chickmagalur,Disposal of SLL Crime Cases By Court (Pending Percentage),80.9
Chickmagalur,Percentage of Pendency to All Karnataka Total (Disposal of SLL Crime Cases By Court),3.4
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Arms Act),3
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Ndps Act),3
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Gambling Act),49
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Excise Act),84
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Prohibition Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Exp. & Exp.Sub. Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (I.T.P. Act),2
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Indian Railways Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Registration of Foreigners Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (P.C.R. Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Indian Passport Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Essential Commodities Act),7
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Tada Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Antiquity & Art Treasure Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Dowry Prohibition Act),25
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Indecent Rep. of Womenn Proh. Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Copyright Act),9
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Sati Prevention Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Sc/St (P) of Atrocities Act),23
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Forest Act),0
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Other SLL Crimes),32
Chickmagalur,Conviction of SLL Crime Cases Under Various Acts (Total Cognizable Crimes Under SLL),243
Chickmagalur,District Session Judge Duration of Trial Less Then 6 Months,0
Chickmagalur,District Session Judge Duration of Trial 6-12 Months,0
Chickmagalur,District Session Judge Duration of Trial 1-3 Years,8
Chickmagalur,District Session Judge Duration of Trial 3-5 Years,13
Chickmagalur,District Session Judge Duration of Trial 5-10 Years,1
Chickmagalur,District Session Judge Duration of Trial Over 10 Years,0
Chickmagalur,District Session Judge Duration of Trial (Total),25
Chickmagalur,Additional Session Judge Duration of Trial Less Then 6 Months,0
Chickmagalur,Additional Session Judge Duration of Trial 6-12 Months,0
Chickmagalur,Additional Session Judge Duration of Trial 1-3 Years,11
Chickmagalur,Additional Session Judge Duration of Trial 3-5 Years,17
Chickmagalur,Additional Session Judge Duration of Trial 5-10 Years,0
Chickmagalur,Additional Session Judge Duration of Trial Over 10 Years,0
Chickmagalur,Additional Session Judge Duration of Trial (Total),30
Chickmagalur,Other Courts Duration of Trial Less Then 6 Months,0
Chickmagalur,Other Courts Duration of Trial 6-12 Months,0
Chickmagalur,Other Courts Duration of Trial 1-3 Years,0
Chickmagalur,Other Courts Duration of Trial 3-5 Years,0
Chickmagalur,Other Courts Duration of Trial 5-10 Years,0
Chickmagalur,Other Courts Duration of Trial Over 10 Years,0
Chickmagalur,Other Courts (Total),0
Chickmagalur,Other Courts (Concluded) Duration of Trial Less Then 6 Months,0
Chickmagalur,Other Courts (Concluded) Duration of Trial 6-12 Months,155
Chickmagalur,Other Courts (Concluded) Duration of Trial 1-3 Years,459
Chickmagalur,Other Courts (Concluded) Duration of Trial 3-5 Years,714
Chickmagalur,Other Courts (Concluded) Duration of Trial 5-10 Years,646
Chickmagalur,Other Courts (Concluded) Duration of Trial Over 10 Years,0
Chickmagalur,Other Courts (Concluded) Total,1975
Chickmagalur,Total Crimes Committed Against Women (Incidence),179
Chickmagalur,Total Crimes Committed Against Women (Estimated Mid Year Population (In Lakhs)),11.0
Chickmagalur,Total Crimes Committed Against Women (Rank of Population),23
Chickmagalur,Total Crimes Committed Against Women (Rank of Crimes),11
Chickmagalur,Incidence of Crimes Committed Against Women Rape (Percentage),1.5
Chickmagalur,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Percentage),1.5
Chickmagalur,Incidence of Crimes Committed Against Women Dowry Death (Percentage),0.4
Chickmagalur,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Percentage),1.8
Chickmagalur,Incidence of Crimes Committed Against Women Molestation (Percentage),2.0
Chickmagalur,Incidence of Crimes Committed Against Women Sexual Harassment (Eve-Teasing) (Incidence),3
Chickmagalur,Incidence of Crimes Committed Against Women Sexual Harassment (Eve-Teasing) (Percentage),4.8
Chickmagalur,Incidence of Crimes Committed Against Women Importation of Girls (Incidence),0
Chickmagalur,Incidence of Crimes Committed Against Women Importation of Girls (Percentage),8.1
Chickmagalur,Incidence of Crimes Committed Against Women Immoral Traffic (P) Act (Incidence),1
Chickmagalur,Incidence of Crimes Committed Against Women Immoral Traffic (P) Act (Percentage),0.6
Chickmagalur,Incidence of Crimes Committed Against Women Indecent Representation of Women (P) Act (Incidence),0
Chickmagalur,Incidence of Crimes Committed Against Women Indecent Representation of Women (P) Act (Percentage),0
Chickmagalur,Incidence of Crimes Committed Against Women Dowry Prohibition Act (Incidence),33
Chickmagalur,Incidence of Crimes Committed Against Women Dowry Prohibition Act (Percentage),2.8
Chickmagalur,Incidence of Crimes Committed Against Women Total (Percentage),1.9
Chickmagalur,Number of Victims Upto 10 Years (Age Group Wise Victims of Rape Cases),0
Chickmagalur,Number of Victims 11 to 15  Years (Age Group Wise Victims of Rape Cases),0
Chickmagalur,Number of Victims 16 - 18  Years (Age Group Wise Victims of Rape Cases),0
Chickmagalur,Number of Victims 19 - 30  Years (Age Group Wise Victims of Rape Cases),9
Chickmagalur,Number of Victims 31 - 50  Years (Age Group Wise Victims of Rape Cases),0
Chickmagalur,Number of Victims Above 50  Years (Age Group Wise Victims of Rape Cases),0
Chickmagalur,Number of Cases In Which offenders Were Known to The Victims,0
Chickmagalur,Number of Cases In Which offenders Were Parents / Close Family Members,0
Chickmagalur,Number of Cases In Which offenders Were Relatives,0
Chickmagalur,Number of Cases In Which offenders Were Neighbours,0
Chickmagalur,Number of Cases In Which offenders Were Other Known Persons,0
Chickmagalur,Crimes Committed Against Children Murder  (Incidence),0
Chickmagalur,Crimes Committed Against Children Murder (Percentage),1.9
Chickmagalur,Crimes Committed Against Children Rape (Below 16 Years) (Incidence),0
Chickmagalur,Crimes Committed Against Children Rape (Below 16 Years) (Percentage),0
Chickmagalur,Crimes Committed Against Children Infanticide (Incidence),0
Chickmagalur,Crimes Committed Against Children Infanticide (Percentage),12.1
Chickmagalur,Crimes Committed Against Children Foeticide (Incidence),0
Chickmagalur,Crimes Committed Against Children Foeticide (Percentage),0
Chickmagalur,Crimes Committed Against Children Abetment of Suicide (Incidence),0
Chickmagalur,Crimes Committed Against Children Abetment of Suicide (Percentage),0
Chickmagalur,Crimes Committed Against Children Exposure & Abandonment (Incidence),0
Chickmagalur,Crimes Committed Against Children Exposure & Abandonment (Percentage),4.6
Chickmagalur,Crimes Committed Against Children Kidnapping & Abduction (Incidence),5
Chickmagalur,Crimes Committed Against Children Kidnapping & Abduction (Percentage),5.3
Chickmagalur,Crimes Committed Against Children Procuration of Minor Girls (Incidence),0
Chickmagalur,Crimes Committed Against Children Procuration of Minor Girls (Percentage),0
Chickmagalur,Crimes Committed Against Children Selling of Girls For Prostitution (Incidence),0
Chickmagalur,Crimes Committed Against Children Selling of Girls For Prostitution (Percentage),0
Chickmagalur,Crimes Committed Against Children Buying of Girls For Prostitution (Incidence),0
Chickmagalur,Crimes Committed Against Children Buying of Girls For Prostitution (Percentage),0
Chickmagalur,Crimes Committed Against Children Child Marriage Restraint Act (Incidence),0
Chickmagalur,Crimes Committed Against Children Child Marriage Restraint Act (Percentage),0
Chickmagalur,Crimes Committed Against Children Others (Incidence),0
Chickmagalur,Crimes Committed Against Children Others (Percentage),2.9
Chickmagalur,Crimes Committed Against Children Total (Incidence),9
