District,Attribute,Measure
Koppal,Sex ratio - Total,983
Koppal,Sex ratio - Urban,993
Koppal,Sex ratio (0-6 years) - Rural,950
Koppal,Sex ratio (0-6 years) - Total,953
Koppal,Sex ratio (0-6 years) - Urban,969
Koppal,Percentage of households who own any agricultural land - Total,68.8
Koppal,Percentage distribution of population by wealth quintiles - Highest,6.5
Koppal,Percentage distribution of population by wealth quintiles - Lowest,25.3
Koppal,Percentage of households holding below poverty line (BPL) ration cards - Total,43.4
Koppal,Children aged 6-11 years attending school - Female,93.1
Koppal,Children aged 6-11 years attending school - Male,94.9
Koppal,Literacy rate (age 7+) - Female,56.22
Koppal,Literacy rate (age 7+) - Male,78.21
Koppal,Literacy rate (age 7+) - Rural,64.98
Koppal,Literacy rate (age 7+) - Rural Female,53.23
Koppal,Literacy rate (age 7+) - Rural Male,76.57
Koppal,Literacy rate (age 7+) - Total,67.28
Koppal,Literacy rate (age 7+) - Urban,78.49
Koppal,Literacy rate (age 7+) - Urban Female,70.69
Koppal,Literacy rate (age 7+) - Urban Male,86.27
Koppal,Number of literates aged 7 years and above - Female,334571
Koppal,Number of literates aged 7 years and above - Male,470856
Koppal,Number of literates aged 7 years and above - Rural,645249
Koppal,Number of literates aged 7 years and above - Rural Female,262561
Koppal,Number of literates aged 7 years and above - Rural Male,382688
Koppal,Number of literates aged 7 years and above - Total,805427
Koppal,Number of literates aged 7 years and above - Urban,160178
Koppal,Number of literates aged 7 years and above - Urban Female,72010
Koppal,Number of literates aged 7 years and above - Urban Male,88168
Koppal,Households with electricity - Total,88.4
Koppal,Households using LPG for cooking - Total,7
Koppal,Households with toilet facility - Total,13.6
Koppal,Households with improved source of drinking water - Total,92.2
Koppal,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,91.4
Koppal,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,73.9
Koppal,Children aged under 3 yrs with diarrhoea treated with ORS - Total,33.3
Koppal,Women whose child under 3 yrs suffered from diarrhoea - Total,11
Koppal,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,76.4
Koppal,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,23.4
Koppal,Women whose child under 3 yrs suffered from pneumonia - Total,29.1
Koppal,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,67.5
Koppal,Women with children under 3 yrs aware of diarrhoea - Total,34.7
Koppal,Women with children under 3 yrs aware of pneumonia - Total,2.5
Koppal,Women with children under 3 yrs having knowledge of ORS - Total,13.2
Koppal,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,42.2
Koppal,Percentage of villages with health sub-centre within 3 km - Total,63.4
Koppal,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,81
Koppal,BCG immunization - Total 12-23 mo,96.1
Koppal,BCG immunization - Total 12-35 mo,77.2
Koppal,Complete immunization - Total 12-23 mo,66.4
Koppal,Complete immunization - Total 12-35 mo,49.9
Koppal,DPT3 immunization - Total 12-23 mo,79.4
Koppal,DPT3 immunization - Total 12-35 mo,63
Koppal,Measles immunization - Total 12-23 mo,78.5
Koppal,Measles immunization - Total 12-35 mo,58.9
Koppal,No immunization - Total 12-23 mo,17.9
Koppal,No immunization - Total 12-35 mo,15.4
Koppal,OPV3 immunization - Total 12-23 mo,84
Koppal,OPV3 immunization - Total 12-35 mo,64.3
Koppal,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,10.8
Koppal,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,62
Koppal,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,9.1
Koppal,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,2.2
Koppal,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,76
Koppal,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,6.5
Koppal,Proportion of households having television - Total,33
Koppal,Percentage of households who own a mobile phone - Total,28.3
Koppal,Percentage of households who own a motorized vehicle - Total,10.7
Koppal,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,32.6
Koppal,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,17.6
Koppal,Exclusive breastfeeding rate - Atleast 4 months,35.1
Koppal,Exclusive breastfeeding rate - Atleast 6 months,50.4
Koppal,Timely complementary feeding rate - Total 6-24 mo,70.2
Koppal,Anaemia among adolescent girls - Total 10-19 yr Mild,42.3
Koppal,Anaemia among adolescent girls - Total 10-19 yr Moderate,34.8
Koppal,Anaemia among adolescent girls - Total 10-19 yr Severe,19.5
Koppal,Anaemia among children - Mild Under 6 yr,53.1
Koppal,Anaemia among children - Moderate Under 6 yr,35.5
Koppal,Anaemia among children - Severe Under 6 yr,8.4
Koppal,Anaemia among pregnant women - Female 15-44 yr Mild,54.8
Koppal,Anaemia among pregnant women - Female 15-44 yr Moderate,41.9
Koppal,Anaemia among pregnant women - Female 15-44 yr Severe,0
Koppal,Prevalence of underweight (moderate and severe) - Under 6 yr,43.1
Koppal,Prevalence of underweight (severe) - Under 6 yr,14
Koppal,Children who received vitamin A supplements - Total 9-35 mo,57.1
Koppal,Use of iodised salt - Adequately Iodised,9.3
Koppal,Children aged 21 months and above who received three doses of Vitamin A - Total,15.4
Koppal,Marriage below legal age at marriage - Female,41.5
Koppal,Marriage below legal age at marriage - Male,25.3
Koppal,Currently married women aged 15-44 yrs aware of RTI/STI - Total,5.5
Koppal,Prevalence of RTI/STI - Female,23.6
Koppal,Ever married women aged 15-49 years who have heard of RTI/STI - Total,18.3
Koppal,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,24.8
Koppal,Antenatal care (all components) - Total,24.7
Koppal,Contraceptive prevalence rate by method - Total 15-49 yr Any method,52.6
Koppal,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,52.5
Koppal,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,0.6
Koppal,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,0.3
Koppal,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,51.7
Koppal,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,0.2
Koppal,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.2
Koppal,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.1
Koppal,Percentage distribution of live births by order of birth - 3rd & above,41.2
Koppal,Percentage of deliveries assisted by a skilled health professional - Total,12.6
Koppal,Percentage of women who had antenatal check up - Antenatal check up at home,13.4
Koppal,Percentage of women who had antenatal check up - Any antenatal check up,81.1
Koppal,Percentage of women who had antenatal check up - No antenatal check up,18.7
Koppal,Percentage of women who had antenatal check up - Three or more antenatal check ups,65.7
Koppal,Currently married women who had childbirth at home - Total,79.4
Koppal,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,27.7
Koppal,Pregnant women who had two or more TT injections - Total,62
Koppal,Pregnant women who received adequate IFA tablets/syrup - Total,29.8
Koppal,Unmet need for family planning - For limiting,6
Koppal,Unmet need for family planning - For spacing,13.6
Koppal,Unmet need for family planning - Total,19.6
Koppal,Women who had institutional delivery - Total,24.7
Koppal,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,5.8
Koppal,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,33.7
Koppal,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,98.5
Koppal,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,20.6
Koppal,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,52.7
Koppal,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,74
Koppal,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,44.1
Koppal,Percentage of births to women aged 15-19 years - Total,25.4
Koppal,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,79.6
Koppal,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Koppal,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Koppal,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Mandya,Type of houses occupied - Pucca,13.2
Mandya,Living in own house - Total,91.4
Mandya,Mean age at marriage - Female,19
Mandya,Mean age at marriage - Male,25.4
Mandya,Population size - Female,899239
Mandya,Population size - Female 0-6 yr,78301
Mandya,Population size - Male,909441
Mandya,Population size - Male 0-6 yr,83846
Mandya,Population size - Rural,1499831
Mandya,Population size - Rural 0-6 yr,132423
Mandya,Population size - Rural Female,744596
Mandya,Population size - Rural Female 0-6 yr,63877
Mandya,Population size - Rural Male,755235
Mandya,Population size - Rural Male 0-6 yr,68546
Mandya,Population size - Total,1808680
Mandya,Population size - Total 0-6 yr,162147
Mandya,Population size - Urban,308849
Mandya,Population size - Urban 0-6 yr,29724
Mandya,Population size - Urban Female,154643
Mandya,Population size - Urban Female 0-6 yr,14424
Mandya,Population size - Urban Male,154206
Mandya,Population size - Urban Male 0-6 yr,15300
Mandya,Population density - Total,365
Mandya,Sex ratio - Rural,986
Mandya,Sex ratio - Total,989
Mandya,Sex ratio - Urban,1003
Mandya,Sex ratio (0-6 years) - Rural,932
Mandya,Sex ratio (0-6 years) - Total,934
Mandya,Sex ratio (0-6 years) - Urban,943
Mandya,Percentage of households who own any agricultural land - Total,63.5
Mandya,Percentage distribution of population by wealth quintiles - Highest,11.3
Mandya,Percentage distribution of population by wealth quintiles - Lowest,11.6
Mandya,Percentage of households holding below poverty line (BPL) ration cards - Total,66.2
Mandya,Children aged 6-11 years attending school - Female,100
Mandya,Children aged 6-11 years attending school - Male,98.6
Mandya,Literacy rate (age 7+) - Female,62.1
Mandya,Literacy rate (age 7+) - Male,78.14
Mandya,Literacy rate (age 7+) - Rural,67.48
Mandya,Literacy rate (age 7+) - Rural Female,58.72
Mandya,Literacy rate (age 7+) - Rural Male,76.16
Mandya,Literacy rate (age 7+) - Total,70.14
Mandya,Literacy rate (age 7+) - Urban,83.2
Mandya,Literacy rate (age 7+) - Urban Female,78.5
Mandya,Literacy rate (age 7+) - Urban Male,87.94
Mandya,Number of literates aged 7 years and above - Female,509819
Mandya,Number of literates aged 7 years and above - Male,645133
Mandya,Number of literates aged 7 years and above - Rural,922721
Mandya,Number of literates aged 7 years and above - Rural Female,399742
Mandya,Number of literates aged 7 years and above - Rural Male,522979
Mandya,Number of literates aged 7 years and above - Total,1154952
Mandya,Number of literates aged 7 years and above - Urban,232231
Mandya,Number of literates aged 7 years and above - Urban Female,110077
Mandya,Number of literates aged 7 years and above - Urban Male,122154
Mandya,Households with electricity - Total,89.8
Mandya,Households using LPG for cooking - Total,10.6
Mandya,Households with toilet facility - Total,26.4
Mandya,Households with improved source of drinking water - Total,97.9
Mandya,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,56.5
Mandya,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,80
Mandya,Children aged under 3 yrs with diarrhoea treated with ORS - Total,47.1
Mandya,Women whose child under 3 yrs suffered from diarrhoea - Total,11.6
Mandya,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,41.1
Mandya,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,27.6
Mandya,Women whose child under 3 yrs suffered from pneumonia - Total,23.4
Mandya,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,63
Mandya,Women with children under 3 yrs aware of diarrhoea - Total,68.3
Mandya,Women with children under 3 yrs aware of pneumonia - Total,12.6
Mandya,Women with children under 3 yrs having knowledge of ORS - Total,37.7
Mandya,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,68.9
Mandya,Percentage of villages with health sub-centre within 3 km - Total,66.1
Mandya,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,42.9
Mandya,BCG immunization - Total 12-23 mo,100
Mandya,BCG immunization - Total 12-35 mo,100
Mandya,Complete immunization - Total 12-23 mo,86.6
Mandya,Complete immunization - Total 12-35 mo,85
Mandya,DPT3 immunization - Total 12-23 mo,89.9
Mandya,DPT3 immunization - Total 12-35 mo,94.2
Mandya,Measles immunization - Total 12-23 mo,95.2
Mandya,Measles immunization - Total 12-35 mo,88.9
Mandya,No immunization - Total 12-23 mo,0
Mandya,No immunization - Total 12-35 mo,0
Mandya,OPV3 immunization - Total 12-23 mo,93.5
Mandya,OPV3 immunization - Total 12-35 mo,93.1
Mandya,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,29.4
Mandya,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,85
Mandya,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,29
Mandya,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,8.2
Mandya,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,93.8
Mandya,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,29.7
Mandya,Proportion of households having television - Total,49.1
Mandya,Percentage of households who own a mobile phone - Total,29.2
Mandya,Percentage of households who own a motorized vehicle - Total,14.9
Mandya,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,54.5
Mandya,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,47.1
Mandya,Exclusive breastfeeding rate - Atleast 4 months,50.1
Mandya,Exclusive breastfeeding rate - Atleast 6 months,27.3
Mandya,Timely complementary feeding rate - Total 6-24 mo,37.5
Mandya,Anaemia among adolescent girls - Total 10-19 yr Mild,13.3
Mandya,Anaemia among adolescent girls - Total 10-19 yr Moderate,46.7
Mandya,Anaemia among adolescent girls - Total 10-19 yr Severe,37.8
Mandya,Anaemia among children - Mild Under 6 yr,0
Mandya,Anaemia among children - Moderate Under 6 yr,64.7
Mandya,Anaemia among children - Severe Under 6 yr,35.3
Mandya,Anaemia among pregnant women - Female 15-44 yr Mild,16.7
Mandya,Anaemia among pregnant women - Female 15-44 yr Moderate,16.7
Mandya,Anaemia among pregnant women - Female 15-44 yr Severe,0
Mandya,Prevalence of underweight (moderate and severe) - Under 6 yr,38.6
Mandya,Prevalence of underweight (severe) - Under 6 yr,6.9
Mandya,Children who received vitamin A supplements - Total 9-35 mo,83.8
Mandya,Use of iodised salt - Adequately Iodised,26.5
Mandya,Children aged 21 months and above who received three doses of Vitamin A - Total,8.8
Mandya,Marriage below legal age at marriage - Female,20.9
Mandya,Marriage below legal age at marriage - Male,6.9
Mandya,Currently married women aged 15-44 yrs aware of RTI/STI - Total,19.6
Mandya,Prevalence of RTI/STI - Female,7.8
Mandya,Ever married women aged 15-49 years who have heard of RTI/STI - Total,27.2
Mandya,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,29.7
Mandya,Antenatal care (all components) - Total,35.1
Mandya,Contraceptive prevalence rate by method - Total 15-49 yr Any method,79
Mandya,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,78.6
Mandya,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,0.2
Mandya,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,0.6
Mandya,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,76
Mandya,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,1.4
Mandya,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.1
Mandya,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.5
Mandya,Percentage distribution of live births by order of birth - 3rd & above,8.4
Mandya,Percentage of deliveries assisted by a skilled health professional - Total,0.9
Mandya,Percentage of women who had antenatal check up - Antenatal check up at home,0
Mandya,Percentage of women who had antenatal check up - Any antenatal check up,97.4
Mandya,Percentage of women who had antenatal check up - No antenatal check up,2.6
Mandya,Percentage of women who had antenatal check up - Three or more antenatal check ups,97.2
Mandya,Currently married women who had childbirth at home - Total,29.8
Mandya,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,23.4
Mandya,Pregnant women who had two or more TT injections - Total,93.8
Mandya,Pregnant women who received adequate IFA tablets/syrup - Total,35.4
Mandya,Unmet need for family planning - For limiting,3
Mandya,Unmet need for family planning - For spacing,4.7
Mandya,Unmet need for family planning - Total,7.7
Mandya,Women who had institutional delivery - Total,86.7
Mandya,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,42.8
Mandya,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,85.7
Mandya,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,99.5
Mandya,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,21.6
Mandya,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,95
Mandya,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,97.8
Mandya,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,71.6
Mandya,Percentage of births to women aged 15-19 years - Total,9.4
Mandya,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,53.9
Mandya,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Mandya,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Mandya,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Mysore Dist.,Type of houses occupied - Pucca,20.5
Mysore Dist.,Living in own house - Total,87.8
Mysore Dist.,Mean age at marriage - Female,19.3
Mysore Dist.,Mean age at marriage - Male,26
Mysore Dist.,Population size - Female,1483538
Mysore Dist.,Population size - Female 0-6 yr,139764
Mysore Dist.,Population size - Male,1511206
Mysore Dist.,Population size - Male 0-6 yr,146192
Mysore Dist.,Population size - Rural,1756412
Mysore Dist.,Population size - Rural 0-6 yr,174025
Mysore Dist.,Population size - Rural Female,866105
Mysore Dist.,Population size - Rural Female 0-6 yr,85305
Mysore Dist.,Population size - Rural Male,890307
Mysore Dist.,Population size - Rural Male 0-6 yr,88720
Mysore Dist.,Population size - Total,2994744
Mysore Dist.,Population size - Total 0-6 yr,285956
Mysore Dist.,Population size - Urban,1238332
Mysore Dist.,Population size - Urban 0-6 yr,111931
Mysore Dist.,Population size - Urban Female,617433
Mysore Dist.,Population size - Urban Female 0-6 yr,54459
Mysore Dist.,Population size - Urban Male,620899
Mysore Dist.,Population size - Urban Male 0-6 yr,57472
Mysore Dist.,Population density - Total,437
Mysore Dist.,Sex ratio - Rural,973
Mysore Dist.,Sex ratio - Total,982
Mysore Dist.,Sex ratio - Urban,994
Mysore Dist.,Sex ratio (0-6 years) - Rural,962
Mysore Dist.,Sex ratio (0-6 years) - Total,956
Mysore Dist.,Sex ratio (0-6 years) - Urban,948
Mysore Dist.,Percentage of households who own any agricultural land - Total,41.1
Mysore Dist.,Percentage distribution of population by wealth quintiles - Highest,20.7
Mysore Dist.,Percentage distribution of population by wealth quintiles - Lowest,9.2
Mysore Dist.,Percentage of households holding below poverty line (BPL) ration cards - Total,66.5
Mysore Dist.,Children aged 6-11 years attending school - Female,99.2
Mysore Dist.,Children aged 6-11 years attending school - Male,100
Mysore Dist.,Literacy rate (age 7+) - Female,66.59
Mysore Dist.,Literacy rate (age 7+) - Male,78.44
Mysore Dist.,Literacy rate (age 7+) - Rural,63.29
Mysore Dist.,Literacy rate (age 7+) - Rural Female,55.49
Mysore Dist.,Literacy rate (age 7+) - Rural Male,70.89
Mysore Dist.,Literacy rate (age 7+) - Total,72.56
Mysore Dist.,Literacy rate (age 7+) - Urban,85.58
Mysore Dist.,Literacy rate (age 7+) - Urban Female,81.99
Mysore Dist.,Literacy rate (age 7+) - Urban Male,89.16
Mysore Dist.,Number of literates aged 7 years and above - Female,894843
Mysore Dist.,Number of literates aged 7 years and above - Male,1070649
Mysore Dist.,Number of literates aged 7 years and above - Rural,1001558
Mysore Dist.,Number of literates aged 7 years and above - Rural Female,433275
Mysore Dist.,Number of literates aged 7 years and above - Rural Male,568283
Mysore Dist.,Number of literates aged 7 years and above - Total,1965492
Mysore Dist.,Number of literates aged 7 years and above - Urban,963934
Mysore Dist.,Number of literates aged 7 years and above - Urban Female,461568
Mysore Dist.,Number of literates aged 7 years and above - Urban Male,502366
Mysore Dist.,Households with electricity - Total,90.1
Mysore Dist.,Households using LPG for cooking - Total,26.5
Mysore Dist.,Households with toilet facility - Total,48.3
Mysore Dist.,Households with improved source of drinking water - Total,97.3
Mysore Dist.,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,78.1
Mysore Dist.,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,80.4
Mysore Dist.,Children aged under 3 yrs with diarrhoea treated with ORS - Total,37.9
Mysore Dist.,Women whose child under 3 yrs suffered from diarrhoea - Total,1.2
Mysore Dist.,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,71.6
Mysore Dist.,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,46.9
Mysore Dist.,Women whose child under 3 yrs suffered from pneumonia - Total,1.6
Mysore Dist.,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,40.5
Mysore Dist.,Women with children under 3 yrs aware of diarrhoea - Total,31.6
Mysore Dist.,Women with children under 3 yrs aware of pneumonia - Total,3.2
Mysore Dist.,Women with children under 3 yrs having knowledge of ORS - Total,30.8
Mysore Dist.,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,78
Mysore Dist.,Percentage of villages with health sub-centre within 3 km - Total,89.3
Mysore Dist.,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,64
Mysore Dist.,BCG immunization - Total 12-23 mo,100
Mysore Dist.,BCG immunization - Total 12-35 mo,98.9
Mysore Dist.,Complete immunization - Total 12-23 mo,93.5
Mysore Dist.,Complete immunization - Total 12-35 mo,91.4
Mysore Dist.,DPT3 immunization - Total 12-23 mo,99
Mysore Dist.,DPT3 immunization - Total 12-35 mo,96.1
Mysore Dist.,Measles immunization - Total 12-23 mo,93.9
Mysore Dist.,Measles immunization - Total 12-35 mo,96.5
Mysore Dist.,No immunization - Total 12-23 mo,0
Mysore Dist.,No immunization - Total 12-35 mo,0.5
Mysore Dist.,OPV3 immunization - Total 12-23 mo,99
Mysore Dist.,OPV3 immunization - Total 12-35 mo,92.1
Mysore Dist.,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,21.2
Mysore Dist.,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,76.2
Mysore Dist.,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,13.3
Mysore Dist.,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,1.1
Mysore Dist.,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,88.6
Mysore Dist.,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,8.1
Mysore Dist.,Proportion of households having television - Total,55.3
Mysore Dist.,Percentage of households who own a mobile phone - Total,38.7
Mysore Dist.,Percentage of households who own a motorized vehicle - Total,19.5
Mysore Dist.,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,45.1
Mysore Dist.,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,14.5
Mysore Dist.,Exclusive breastfeeding rate - Atleast 4 months,50.3
Mysore Dist.,Exclusive breastfeeding rate - Atleast 6 months,24.2
Mysore Dist.,Timely complementary feeding rate - Total 6-24 mo,61.1
Mysore Dist.,Anaemia among adolescent girls - Total 10-19 yr Mild,22
Mysore Dist.,Anaemia among adolescent girls - Total 10-19 yr Moderate,59.4
Mysore Dist.,Anaemia among adolescent girls - Total 10-19 yr Severe,15.4
Mysore Dist.,Anaemia among children - Mild Under 6 yr,58.9
Mysore Dist.,Anaemia among children - Moderate Under 6 yr,36.8
Mysore Dist.,Anaemia among children - Severe Under 6 yr,2.6
Mysore Dist.,Anaemia among pregnant women - Female 15-44 yr Mild,61
Mysore Dist.,Anaemia among pregnant women - Female 15-44 yr Moderate,34.1
Mysore Dist.,Anaemia among pregnant women - Female 15-44 yr Severe,2.4
Mysore Dist.,Prevalence of underweight (moderate and severe) - Under 6 yr,55.5
Mysore Dist.,Prevalence of underweight (severe) - Under 6 yr,23.4
Mysore Dist.,Children who received vitamin A supplements - Total 9-35 mo,87.7
Mysore Dist.,Use of iodised salt - Adequately Iodised,33.7
Mysore Dist.,Children aged 21 months and above who received three doses of Vitamin A - Total,8.9
Mysore Dist.,Marriage below legal age at marriage - Female,14.3
Mysore Dist.,Marriage below legal age at marriage - Male,5.3
Mysore Dist.,Currently married women aged 15-44 yrs aware of RTI/STI - Total,16
Mysore Dist.,Prevalence of RTI/STI - Female,17.7
Mysore Dist.,Ever married women aged 15-49 years who have heard of RTI/STI - Total,24.9
Mysore Dist.,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,24.3
Mysore Dist.,Antenatal care (all components) - Total,15.1
Mysore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any method,71.4
Mysore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,70.9
Mysore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,0.9
Mysore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,1.5
Mysore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,66.7
Mysore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,1.8
Mysore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.1
Mysore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.6
Mysore Dist.,Percentage distribution of live births by order of birth - 3rd & above,20.3
Mysore Dist.,Percentage of deliveries assisted by a skilled health professional - Total,2.1
Mysore Dist.,Percentage of women who had antenatal check up - Antenatal check up at home,1.8
Mysore Dist.,Percentage of women who had antenatal check up - Any antenatal check up,95.6
Mysore Dist.,Percentage of women who had antenatal check up - No antenatal check up,4.4
Mysore Dist.,Percentage of women who had antenatal check up - Three or more antenatal check ups,91.5
Mysore Dist.,Currently married women who had childbirth at home - Total,35.1
Mysore Dist.,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,36.6
Mysore Dist.,Pregnant women who had two or more TT injections - Total,90.4
Mysore Dist.,Pregnant women who received adequate IFA tablets/syrup - Total,16.4
Mysore Dist.,Unmet need for family planning - For limiting,7.1
Mysore Dist.,Unmet need for family planning - For spacing,4.9
Mysore Dist.,Unmet need for family planning - Total,12
Mysore Dist.,Women who had institutional delivery - Total,80.4
Mysore Dist.,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,20
Mysore Dist.,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,89.1
Mysore Dist.,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,100
Mysore Dist.,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,94.4
Mysore Dist.,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,84.2
Mysore Dist.,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,97
Mysore Dist.,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,71.4
Mysore Dist.,Percentage of births to women aged 15-19 years - Total,6.1
Mysore Dist.,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,59.3
Mysore Dist.,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Mysore Dist.,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0.4
Mysore Dist.,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0.2
Raichur,Type of houses occupied - Pucca,12.6
